,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,FTR,B365D,B365A,Score,Round,Home_Id,Away_Id
2771,27/07/2019,Fluminense,Sao Paulo,1.0,2.0,A,2.49,3.14,3.18,-0.5,0.0,19,2
2772,27/07/2019,Internacional,Ceara,1.0,0.0,H,1.99,3.22,4.56,0.5,0.0,7,4
2773,28/07/2019,Chapecoense-SC,Bahia,0.0,0.0,D,2.81,3.04,2.87,0.0,0.0,17,3
2774,28/07/2019,Flamengo RJ,Botafogo RJ,3.0,2.0,H,1.4,4.75,8.49,0.5,0.0,12,13
2775,28/07/2019,Santos,Avai,3.0,1.0,H,1.29,5.25,13.32,1.0,0.0,1,15
2776,28/07/2019,Fortaleza,Corinthians,1.0,3.0,A,2.53,2.96,3.31,-1.0,0.0,8,16
2777,28/07/2019,Goias,Atletico-MG,0.0,0.0,D,3.01,3.35,2.48,0.0,0.0,9,5
2778,30/07/2019,CSA,Gremio,0.0,0.0,D,5.91,3.64,1.68,0.0,0.0,18,6
2779,03/08/2019,Ceara,Fortaleza,2.0,1.0,H,2.31,2.98,3.75,0.5,0.0,4,8
2780,03/08/2019,Fluminense,Internacional,2.0,1.0,H,1.92,3.35,4.67,0.5,0.0,19,7
2781,04/08/2019,Santos,Goias,6.0,1.0,H,1.23,6.49,13.63,2.5,0.0,1,9
2782,04/08/2019,Avai,Botafogo RJ,0.0,2.0,A,2.31,2.96,3.77,-1.0,0.0,15,13
2783,04/08/2019,Bahia,Flamengo RJ,3.0,0.0,H,2.91,3.24,2.61,1.5,0.0,3,12
2784,04/08/2019,Atletico-MG,Cruzeiro,2.0,0.0,H,2.09,3.27,4.01,1.0,0.0,5,14
2785,04/08/2019,Corinthians,Palmeiras,1.0,1.0,D,3.76,2.77,2.45,0.0,0.0,16,10
2786,04/08/2019,Vasco,CSA,0.0,0.0,D,1.6,3.73,6.8,0.0,0.0,11,18
2787,06/08/2019,Gremio,Chapecoense-SC,3.0,3.0,D,1.29,5.34,12.25,0.0,0.0,6,17
2788,07/08/2019,Corinthians,Goias,2.0,0.0,H,1.52,3.92,7.98,1.0,0.0,16,9
2789,10/08/2019,Ceara,Chapecoense-SC,4.0,1.0,H,1.65,3.8,5.89,1.5,0.0,4,17
2790,10/08/2019,Sao Paulo,Santos,3.0,2.0,H,2.64,2.99,3.11,0.5,0.0,2,1
2791,10/08/2019,Flamengo RJ,Gremio,3.0,1.0,H,1.59,3.77,6.94,1.0,0.0,12,6
2792,11/08/2019,Atletico-MG,Fluminense,2.0,1.0,H,1.85,3.69,4.49,0.5,0.0,5,19
2793,11/08/2019,Internacional,Corinthians,0.0,0.0,D,1.93,3.21,4.92,0.0,0.0,7,16
2794,11/08/2019,Avai,Cruzeiro,2.0,2.0,D,3.25,3.03,2.52,0.0,0.0,15,14
2795,11/08/2019,Botafogo RJ,Athletico-PR,2.0,1.0,H,2.16,3.34,3.66,0.5,0.0,13,0
2796,11/08/2019,Palmeiras,Bahia,2.0,2.0,D,1.38,4.53,10.17,0.0,0.0,10,3
2797,11/08/2019,Goias,Vasco,0.0,1.0,A,2.16,3.26,3.76,-0.5,0.0,9,11
2798,13/08/2019,CSA,Fortaleza,0.0,2.0,A,3.01,3.06,2.66,-1.0,0.0,18,8
2799,17/08/2019,Corinthians,Botafogo RJ,2.0,0.0,H,1.56,3.81,7.26,1.0,0.0,16,13
2800,17/08/2019,Fortaleza,Internacional,0.0,1.0,A,2.23,3.27,3.56,-0.5,0.0,8,7
2801,17/08/2019,Athletico-PR,Atletico-MG,1.0,0.0,H,1.87,3.85,4.15,0.5,0.0,0,5
2802,17/08/2019,Vasco,Flamengo RJ,1.0,4.0,A,6.11,3.78,1.64,-1.5,0.0,11,12
2803,18/08/2019,Gremio,Palmeiras,1.0,1.0,D,2.82,3.05,2.84,0.0,0.0,6,10
2804,18/08/2019,Bahia,Goias,1.0,1.0,D,1.48,4.25,7.71,0.0,0.0,3,9
2805,18/08/2019,Cruzeiro,Santos,2.0,0.0,H,2.81,3.09,2.82,1.0,0.0,14,1
2806,18/08/2019,Fluminense,CSA,0.0,1.0,A,1.31,5.34,10.63,-0.5,0.0,19,18
2807,18/08/2019,Sao Paulo,Ceara,1.0,0.0,H,1.66,3.55,6.55,0.5,0.0,2,4
2808,18/08/2019,Chapecoense-SC,Avai,1.0,0.0,H,2.12,3.1,4.12,0.5,0.0,17,15
2809,21/08/2019,Athletico-PR,Sao Paulo,0.0,1.0,A,2.02,3.28,4.3,-0.5,0.0,0,2
2810,24/08/2019,Atletico-MG,Bahia,0.0,1.0,A,2.07,3.21,4.16,-0.5,0.0,5,3
2811,24/08/2019,Gremio,Athletico-PR,2.0,1.0,H,2.2,3.27,3.64,0.5,0.0,6,0
2812,25/08/2019,Goias,Internacional,2.0,1.0,H,2.6,3.13,3.02,0.5,0.0,9,7
2813,25/08/2019,Santos,Fortaleza,3.0,3.0,D,1.33,5.12,10.82,0.0,0.0,1,8
2814,25/08/2019,Vasco,Sao Paulo,2.0,0.0,H,2.98,2.97,2.76,1.0,0.0,11,2
2815,25/08/2019,Avai,Corinthians,1.0,1.0,D,2.85,2.88,2.97,0.0,0.0,15,16
2816,25/08/2019,Ceara,Flamengo RJ,0.0,3.0,A,3.24,3.29,2.37,-1.5,0.0,4,12
2817,25/08/2019,CSA,Cruzeiro,1.0,1.0,D,4.33,3.28,2.01,0.0,0.0,18,14
2818,27/08/2019,Botafogo RJ,Chapecoense-SC,0.0,0.0,D,1.8,3.48,5.15,0.0,0.0,13,17
2819,31/08/2019,Sao Paulo,Gremio,0.0,0.0,D,2.05,3.24,4.22,0.0,0.0,2,6
2820,31/08/2019,Bahia,CSA,1.0,0.0,H,1.33,4.83,12.23,0.5,0.0,3,18
2821,31/08/2019,Athletico-PR,Ceara,1.0,0.0,H,1.44,4.47,8.24,0.5,0.0,0,4
2822,31/08/2019,Chapecoense-SC,Santos,0.0,1.0,A,4.16,3.63,1.93,-0.5,0.0,17,1
2823,01/09/2019,Internacional,Botafogo RJ,3.0,2.0,H,1.55,4.03,6.89,0.5,0.0,7,13
2824,01/09/2019,Flamengo RJ,Palmeiras,3.0,0.0,H,2.23,3.17,3.68,1.5,0.0,12,10
2825,01/09/2019,Fortaleza,Goias,2.0,0.0,H,1.87,3.41,4.82,1.0,0.0,8,9
2826,01/09/2019,Corinthians,Atletico-MG,1.0,0.0,H,2.22,2.9,4.17,0.5,0.0,16,5
2827,01/09/2019,Cruzeiro,Vasco,1.0,0.0,H,1.78,3.53,5.24,0.5,0.0,14,11
